City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,13.89,90,100,9.78,SH,2023-12-12
1,adamstown,-25.066,-130.1015,21.68,60,5,1.02,PN,2023-12-12
2,aasiaat,68.7098,-52.8699,-0.78,78,100,5.74,GL,2023-12-12
3,ribeira grande,38.5167,-28.7,13.76,81,7,2.68,PT,2023-12-12
4,sainte-marie,-20.8968,55.5496,23.09,84,40,2.06,RE,2023-12-12
5,argo,37.6333,22.7333,9.32,83,12,1.59,GR,2023-12-12
6,iqaluit,63.7506,-68.5145,-27.27,96,66,2.2,CA,2023-12-12
7,atafu village,-8.5421,-172.5159,28.59,80,100,10.83,TK,2023-12-12
8,port elizabeth,-33.918,25.5701,17.4,90,2,2.24,ZA,2023-12-12
9,energetik,51.7445,58.7934,-25.57,84,6,4.99,RU,2023-12-12
10,grytviken,-54.2811,-36.5092,1.68,78,27,4.22,GS,2023-12-12
11,kifri,34.6959,44.9661,18.26,32,100,1.01,IQ,2023-12-12
12,ushuaia,-54.8,-68.3,7.51,81,84,2.15,AR,2023-12-12
13,wailua homesteads,22.0669,-159.378,27.24,84,40,4.63,US,2023-12-12
14,mar del plata,-38.0023,-57.5575,21.02,88,0,13.41,AR,2023-12-12
15,anadyr,64.75,177.4833,-25.56,75,20,4.0,RU,2023-12-12
16,talnakh,69.4865,88.3972,-26.41,98,100,4.73,RU,2023-12-12
17,tiksi,71.6872,128.8694,-21.72,100,100,3.75,RU,2023-12-12
18,hermanus,-34.4187,19.2345,16.57,81,72,4.85,ZA,2023-12-12
19,new norfolk,-42.7826,147.0587,20.72,28,93,0.62,AU,2023-12-12
20,nuuk,64.1835,-51.7216,1.34,86,100,18.01,GL,2023-12-12
21,olonkinbyen,70.9221,-8.7187,-0.03,97,100,3.58,SJ,2023-12-12
22,petropavlovsk-kamchatsky,53.0452,158.6483,-6.67,87,20,7.6,RU,2023-12-12
23,blackmans bay,-43.0167,147.3167,20.07,48,43,2.01,AU,2023-12-12
24,chonchi,-42.6128,-73.8092,12.56,94,100,1.95,CL,2023-12-12
25,qaqortoq,60.7167,-46.0333,-0.82,97,100,4.04,GL,2023-12-12
26,susuman,62.7833,148.1667,-21.68,96,100,2.24,RU,2023-12-12
27,waitangi,-43.9535,-176.5597,14.9,90,100,4.47,NZ,2023-12-12
28,riyadh,24.6877,46.7219,13.08,27,7,2.04,SA,2023-12-12
29,floro,61.5996,5.0328,5.54,64,5,4.63,NO,2023-12-12
30,constantia,44.1833,28.65,0.39,84,35,3.92,RO,2023-12-12
31,fort bragg,35.139,-79.006,4.39,85,0,0.0,US,2023-12-12
32,nizhnyaya poyma,56.1622,97.1933,-35.55,100,46,0.7,RU,2023-12-12
33,caleta de carquin,-11.0925,-77.6267,20.35,85,9,4.05,PE,2023-12-12
34,bilibino,68.0546,166.4372,-20.58,95,100,1.54,RU,2023-12-12
35,albany,42.6001,-73.9662,1.64,70,12,1.34,US,2023-12-12
36,bel ombre,-4.6167,55.4167,27.6,77,98,3.63,SC,2023-12-12
37,margaret river,-33.95,115.0667,21.94,52,0,2.96,AU,2023-12-12
38,stanley,54.868,-1.6985,0.44,97,40,1.03,GB,2023-12-12
39,bethel,41.3712,-73.414,4.0,63,75,5.66,US,2023-12-12
40,carnarvon,-24.8667,113.6333,26.94,43,0,1.14,AU,2023-12-12
41,tan-tan,28.438,-11.1032,19.52,30,67,2.08,MA,2023-12-12
42,kodiak,57.79,-152.4072,-1.27,64,0,2.57,US,2023-12-12
